"Region";"Prøvetagningsdato";"Køn";"Bekræftede tilfælde";"Døde";"Indlæggelser";"Kummuleret antal døde";"Kummuleret antal bekræftede tilfælde";"Kummuleret antal indlæggelser"
Syddanmark;2020-12-24;F;111;0;2;1444;149563;8097
Hovedstaden;2020-12-24;M;358;5;32;1449;149921;8129
Midtjylland;2020-12-24;M;115;1;8;1450;150036;8137
Nordjylland;2020-12-24;M;69;0;4;1450;150105;8141
Sjælland;2020-12-24;M;77;3;6;1453;150182;8147
Syddanmark;2020-12-24;M;96;0;2;1453;150278;8149
Hovedstaden;2020-12-25;F;429;9;41;1462;150707;8190
Midtjylland;2020-12-25;F;112;1;4;1463;150819;8194
Nordjylland;2020-12-25;F;65;1;3;1464;150884;8197
Sjælland;2020-12-25;F;122;2;12;1466;151006;8209
Syddanmark;2020-12-25;F;129;0;6;1466;151135;8215
Hovedstaden;2020-12-25;M;376;12;37;1478;151511;8252
Midtjylland;2020-12-25;M;102;3;11;1481;151613;8263
Nordjylland;2020-12-25;M;65;3;3;1484;151678;8266
Sjælland;2020-12-25;M;83;2;10;1486;151761;8276
Syddanmark;2020-12-25;M;103;1;7;1487;151864;8283
Hovedstaden;2020-12-26;F;674;11;35;1498;152538;8318
Midtjylland;2020-12-26;F;228;1;8;1499;152766;8326
Nordjylland;2020-12-26;F;91;0;4;1499;152857;8330
Sjælland;2020-12-26;F;228;1;7;1500;153085;8337
Syddanmark;2020-12-26;F;170;1;6;1501;153255;8343
Hovedstaden;2020-12-26;M;604;11;54;1512;153859;8397
Midtjylland;2020-12-26;M;232;3;12;1515;154091;8409
Nordjylland;2020-12-26;M;87;0;6;1515;154178;8415
Sjælland;2020-12-26;M;217;3;21;1518;154395;8436
Syddanmark;2020-12-26;M;152;2;10;1520;154547;8446
Hovedstaden;2020-12-27;F;545;11;39;1531;155092;8485
Midtjylland;2020-12-27;F;232;3;9;1534;155324;8494
Nordjylland;2020-12-27;F;100;2;6;1536;155424;8500
Sjælland;2020-12-27;F;161;0;2;1536;155585;8502
Syddanmark;2020-12-27;F;154;4;10;1540;155739;8512
Hovedstaden;2020-12-27;M;467;7;31;1547;156206;8543
Midtjylland;2020-12-27;M;184;5;9;1552;156390;8552
Nordjylland;2020-12-27;M;71;1;3;1553;156461;8555
Sjælland;2020-12-27;M;165;6;18;1559;156626;8573
Syddanmark;2020-12-27;M;105;0;9;1559;156731;8582
Hovedstaden;2020-12-28;F;754;15;52;1574;157485;8634
Midtjylland;2020-12-28;F;304;3;16;1577;157789;8650
Nordjylland;2020-12-28;F;138;1;6;1578;157927;8656
Sjælland;2020-12-28;F;295;4;15;1582;158222;8671
Syddanmark;2020-12-28;F;215;4;14;1586;158437;8685
Hovedstaden;2020-12-28;M;536;11;39;1597;158973;8724
Midtjylland;2020-12-28;M;261;5;25;1602;159234;8749
Nordjylland;2020-12-28;M;123;1;1;1603;159357;8750
Sjælland;2020-12-28;M;249;1;22;1604;159606;8772
Syddanmark;2020-12-28;M;183;4;16;1608;159789;8788
Hovedstaden;2020-12-29;F;562;11;48;1619;160351;8836
Midtjylland;2020-12-29;F;281;4;12;1623;160632;8848
Nordjylland;2020-12-29;F;98;3;6;1626;160730;8854
Sjælland;2020-12-29;F;260;1;12;1627;160990;8866
Syddanmark;2020-12-29;F;175;1;4;1628;161165;8870
Hovedstaden;2020-12-29;M;422;11;37;1639;161587;8907
Midtjylland;2020-12-29;M;239;1;16;1640;161826;8923
Nordjylland;2020-12-29;M;88;0;3;1640;161914;8926
Sjælland;2020-12-29;M;182;0;9;1640;162096;8935
Syddanmark;2020-12-29;M;166;2;8;1642;162262;8943
Hovedstaden;2020-12-30;F;616;10;36;1652;162878;8979
Midtjylland;2020-12-30;F;250;2;11;1654;163128;8990
Nordjylland;2020-12-30;F;120;0;5;1654;163248;8995
Sjælland;2020-12-30;F;264;5;12;1659;163512;9007
Syddanmark;2020-12-30;F;198;3;5;1662;163710;9012
Hovedstaden;2020-12-30;M;566;9;42;1671;164276;9054
Midtjylland;2020-12-30;M;230;4;19;1675;164506;9073
Nordjylland;2020-12-30;M;93;1;7;1676;164599;9080
Sjælland;2020-12-30;M;254;7;19;1683;164853;9099
Syddanmark;2020-12-30;M;176;1;4;1684;165029;9103
Hovedstaden;2020-12-31;F;284;6;22;1690;165313;9125
Midtjylland;2020-12-31;F;123;2;2;1692;165436;9127
Nordjylland;2020-12-31;F;64;1;5;1693;165500;9132
Sjælland;2020-12-31;F;85;0;4;1693;165585;9136
Syddanmark;2020-12-31;F;89;1;6;1694;165674;9142
Hovedstaden;2020-12-31;M;277;8;30;1702;165951;9172
Midtjylland;2020-12-31;M;119;0;9;1702;166070;9181
Nordjylland;2020-12-31;M;43;0;3;1702;166113;9184
Sjælland;2020-12-31;M;68;0;9;1702;166181;9193
Syddanmark;2020-12-31;M;76;1;5;1703;166257;9198
Hovedstaden;2021-01-01;F;288;6;22;1709;166545;9220
Midtjylland;2021-01-01;F;130;1;5;1710;166675;9225
Nordjylland;2021-01-01;F;51;0;2;1710;166726;9227
Sjælland;2021-01-01;F;69;1;9;1711;166795;9236
Syddanmark;2021-01-01;F;90;0;4;1711;166885;9240
Hovedstaden;2021-01-01;M;284;6;25;1717;167169;9265
Midtjylland;2021-01-01;M;101;1;6;1718;167270;9271
Nordjylland;2021-01-01;M;42;2;6;1720;167312;9277
Sjælland;2021-01-01;M;70;1;11;1721;167382;9288
Syddanmark;2021-01-01;M;77;2;6;1723;167459;9294
Hovedstaden;2021-01-02;F;435;3;32;1726;167894;9326
Midtjylland;2021-01-02;F;215;2;3;1728;168109;9329
Nordjylland;2021-01-02;F;95;0;2;1728;168204;9331
Sjælland;2021-01-02;F;162;0;12;1728;168366;9343
Syddanmark;2021-01-02;F;136;1;5;1729;168502;9348
Hovedstaden;2021-01-02;M;400;7;26;1736;168902;9374
Midtjylland;2021-01-02;M;221;2;15;1738;169123;9389
Nordjylland;2021-01-02;M;90;2;9;1740;169213;9398
Sjælland;2021-01-02;M;160;8;16;1748;169373;9414
Syddanmark;2021-01-02;M;124;2;9;1750;169497;9423
Hovedstaden;2021-01-03;F;392;2;21;1752;169889;9444
Midtjylland;2021-01-03;F;183;2;10;1754;170072;9454
Nordjylland;2021-01-03;F;110;7;8;1761;170182;9462
Sjælland;2021-01-03;F;114;2;8;1763;170296;9470
Syddanmark;2021-01-03;F;115;1;5;1764;170411;9475
Hovedstaden;2021-01-03;M;322;3;24;1767;170733;9499
Midtjylland;2021-01-03;M;145;0;6;1767;170878;9505
Nordjylland;2021-01-03;M;68;3;6;1770;170946;9511
Sjælland;2021-01-03;M;107;2;11;1772;171053;9522
Syddanmark;2021-01-03;M;111;0;9;1772;171164;9531
Hovedstaden;2021-01-04;F;581;16;31;1788;171745;9562
Midtjylland;2021-01-04;F;245;5;7;1793;171990;9569
Nordjylland;2021-01-04;F;108;2;6;1795;172098;9575
Sjælland;2021-01-04;F;219;1;8;1796;172317;9583
Syddanmark;2021-01-04;F;175;0;7;1796;172492;9590
Hovedstaden;2021-01-04;M;480;12;35;1808;172972;9625
Midtjylland;2021-01-04;M;213;3;11;1811;173185;9636
Nordjylland;2021-01-04;M;102;2;6;1813;173287;9642
Sjælland;2021-01-04;M;179;2;12;1815;173466;9654
Syddanmark;2021-01-04;M;173;1;6;1816;173639;9660
Hovedstaden;2021-01-05;F;447;0;24;1816;174086;9684
Midtjylland;2021-01-05;F;182;4;11;1820;174268;9695
Nordjylland;2021-01-05;F;85;2;4;1822;174353;9699
Sjælland;2021-01-05;F;205;3;10;1825;174558;9709
Syddanmark;2021-01-05;F;157;3;10;1828;174715;9719
Hovedstaden;2021-01-05;M;378;7;22;1835;175093;9741
Midtjylland;2021-01-05;M;133;0;11;1835;175226;9752
Nordjylland;2021-01-05;M;69;0;3;1835;175295;9755
Sjælland;2021-01-05;M;145;3;9;1838;175440;9764
Syddanmark;2021-01-05;M;122;1;11;1839;175562;9775
Hovedstaden;2021-01-06;F;402;9;31;1848;175964;9806
Midtjylland;2021-01-06;F;154;5;12;1853;176118;9818
Nordjylland;2021-01-06;F;89;0;3;1853;176207;9821
Sjælland;2021-01-06;F;142;3;17;1856;176349;9838
Syddanmark;2021-01-06;F;112;0;6;1856;176461;9844
Hovedstaden;2021-01-06;M;311;10;28;1866;176772;9872
Midtjylland;2021-01-06;M;124;3;10;1869;176896;9882
Nordjylland;2021-01-06;M;87;2;2;1871;176983;9884
Sjælland;2021-01-06;M;129;3;10;1874;177112;9894
Syddanmark;2021-01-06;M;100;0;2;1874;177212;9896
Hovedstaden;2021-01-07;F;318;6;18;1880;177530;9914
Midtjylland;2021-01-07;F;189;5;11;1885;177719;9925
Nordjylland;2021-01-07;F;70;1;4;1886;177789;9929
Sjælland;2021-01-07;F;152;3;15;1889;177941;9944
Syddanmark;2021-01-07;F;136;2;8;1891;178077;9952
Hovedstaden;2021-01-07;M;265;3;20;1894;178342;9972
Midtjylland;2021-01-07;M;147;8;16;1902;178489;9988
Nordjylland;2021-01-07;M;74;1;2;1903;178563;9990
Sjælland;2021-01-07;M;96;4;15;1907;178659;10005
Syddanmark;2021-01-07;M;136;3;9;1910;178795;10014
Hovedstaden;2021-01-08;F;338;5;26;1915;179133;10040
Midtjylland;2021-01-08;F;144;1;11;1916;179277;10051
Nordjylland;2021-01-08;F;57;1;2;1917;179334;10053
Sjælland;2021-01-08;F;107;1;5;1918;179441;10058
Syddanmark;2021-01-08;F;118;1;8;1919;179559;10066
Hovedstaden;2021-01-08;M;269;7;22;1926;179828;10088
Midtjylland;2021-01-08;M;109;3;10;1929;179937;10098
Nordjylland;2021-01-08;M;59;2;9;1931;179996;10107
Sjælland;2021-01-08;M;115;2;10;1933;180111;10117
Syddanmark;2021-01-08;M;110;1;6;1934;180221;10123
Hovedstaden;2021-01-09;F;255;3;20;1937;180476;10143
Midtjylland;2021-01-09;F;114;2;3;1939;180590;10146
Nordjylland;2021-01-09;F;51;0;2;1939;180641;10148
Sjælland;2021-01-09;F;113;3;12;1942;180754;10160
Syddanmark;2021-01-09;F;88;3;4;1945;180842;10164
Hovedstaden;2021-01-09;M;225;9;29;1954;181067;10193
Midtjylland;2021-01-09;M;109;3;6;1957;181176;10199
Nordjylland;2021-01-09;M;50;0;3;1957;181226;10202
Sjælland;2021-01-09;M;99;3;14;1960;181325;10216
Syddanmark;2021-01-09;M;86;3;6;1963;181411;10222
Hovedstaden;2021-01-10;F;210;2;17;1965;181621;10239
Midtjylland;2021-01-10;F;100;2;6;1967;181721;10245
Nordjylland;2021-01-10;F;45;0;3;1967;181766;10248
Sjælland;2021-01-10;F;86;3;13;1970;181852;10261
Syddanmark;2021-01-10;F;75;1;7;1971;181927;10268
Hovedstaden;2021-01-10;M;198;7;23;1978;182125;10291
Midtjylland;2021-01-10;M;85;1;7;1979;182210;10298
Nordjylland;2021-01-10;M;36;2;4;1981;182246;10302
Sjælland;2021-01-10;M;81;1;6;1982;182327;10308
Syddanmark;2021-01-10;M;74;1;4;1983;182401;10312
Hovedstaden;2021-01-11;F;365;7;31;1990;182766;10343
Midtjylland;2021-01-11;F;104;1;9;1991;182870;10352
Nordjylland;2021-01-11;F;57;1;1;1992;182927;10353
Sjælland;2021-01-11;F;126;4;11;1996;183053;10364
Syddanmark;2021-01-11;F;114;2;9;1998;183167;10373
Hovedstaden;2021-01-11;M;248;9;19;2007;183415;10392
Midtjylland;2021-01-11;M;91;3;7;2010;183506;10399
Nordjylland;2021-01-11;M;50;0;1;2010;183556;10400
Sjælland;2021-01-11;M;97;1;12;2011;183653;10412
Syddanmark;2021-01-11;M;92;2;10;2013;183745;10422
Hovedstaden;2021-01-12;F;317;10;28;2023;184062;10450
Midtjylland;2021-01-12;F;97;3;9;2026;184159;10459
Nordjylland;2021-01-12;F;53;1;2;2027;184212;10461
Sjælland;2021-01-12;F;124;1;7;2028;184336;10468
Syddanmark;2021-01-12;F;73;0;3;2028;184409;10471
Hovedstaden;2021-01-12;M;269;4;20;2032;184678;10491
Midtjylland;2021-01-12;M;81;2;5;2034;184759;10496
Nordjylland;2021-01-12;M;52;1;3;2035;184811;10499
Sjælland;2021-01-12;M;110;5;10;2040;184921;10509
Syddanmark;2021-01-12;M;76;2;6;2042;184997;10515
Hovedstaden;2021-01-13;F;269;7;25;2049;185266;10540
Midtjylland;2021-01-13;F;102;2;0;2051;185368;10540
Nordjylland;2021-01-13;F;65;2;4;2053;185433;10544
Sjælland;2021-01-13;F;76;2;12;2055;185509;10556
Syddanmark;2021-01-13;F;83;1;1;2056;185592;10557
Hovedstaden;2021-01-13;M;244;3;27;2059;185836;10584
Midtjylland;2021-01-13;M;69;0;4;2059;185905;10588
Nordjylland;2021-01-13;M;53;2;4;2061;185958;10592
Sjælland;2021-01-13;M;81;3;13;2064;186039;10605
Syddanmark;2021-01-13;M;68;0;2;2064;186107;10607
Hovedstaden;2021-01-14;F;222;4;16;2068;186329;10623
Midtjylland;2021-01-14;F;105;1;4;2069;186434;10627
Nordjylland;2021-01-14;F;49;0;1;2069;186483;10628
Sjælland;2021-01-14;F;97;1;7;2070;186580;10635
Syddanmark;2021-01-14;F;86;1;4;2071;186666;10639
Hovedstaden;2021-01-14;M;200;9;25;2080;186866;10664
Midtjylland;2021-01-14;M;82;1;7;2081;186948;10671
Nordjylland;2021-01-14;M;47;0;1;2081;186995;10672
Sjælland;2021-01-14;M;49;1;4;2082;187044;10676
Syddanmark;2021-01-14;M;64;0;2;2082;187108;10678
Hovedstaden;2021-01-15;F;200;2;13;2084;187308;10691
Midtjylland;2021-01-15;F;64;2;6;2086;187372;10697
Nordjylland;2021-01-15;F;33;0;1;2086;187405;10698
Sjælland;2021-01-15;F;67;2;5;2088;187472;10703
Syddanmark;2021-01-15;F;70;0;6;2088;187542;10709
Hovedstaden;2021-01-15;M;190;3;15;2091;187732;10724
Midtjylland;2021-01-15;M;54;2;8;2093;187786;10732
Nordjylland;2021-01-15;M;47;2;7;2095;187833;10739
Sjælland;2021-01-15;M;65;3;10;2098;187898;10749
Syddanmark;2021-01-15;M;58;2;7;2100;187956;10756
Hovedstaden;2021-01-16;F;176;5;11;2105;188132;10767
Midtjylland;2021-01-16;F;35;1;3;2106;188167;10770
Nordjylland;2021-01-16;F;37;0;1;2106;188204;10771
Sjælland;2021-01-16;F;50;1;2;2107;188254;10773
Syddanmark;2021-01-16;F;73;2;10;2109;188327;10783
Hovedstaden;2021-01-16;M;163;3;20;2112;188490;10803
Midtjylland;2021-01-16;M;37;0;3;2112;188527;10806
Nordjylland;2021-01-16;M;37;2;5;2114;188564;10811
Sjælland;2021-01-16;M;55;0;4;2114;188619;10815
Syddanmark;2021-01-16;M;54;0;6;2114;188673;10821
Hovedstaden;2021-01-17;F;170;2;16;2116;188843;10837
Midtjylland;2021-01-17;F;43;0;2;2116;188886;10839
Nordjylland;2021-01-17;F;29;2;2;2118;188915;10841
Sjælland;2021-01-17;F;63;0;9;2118;188978;10850
Syddanmark;2021-01-17;F;49;1;2;2119;189027;10852
Hovedstaden;2021-01-17;M;149;3;17;2122;189176;10869
Midtjylland;2021-01-17;M;35;0;1;2122;189211;10870
Nordjylland;2021-01-17;M;33;2;3;2124;189244;10873
Sjælland;2021-01-17;M;52;1;7;2125;189296;10880
Syddanmark;2021-01-17;M;48;0;4;2125;189344;10884
Hovedstaden;2021-01-18;F;235;6;23;2131;189579;10907
Midtjylland;2021-01-18;F;65;1;3;2132;189644;10910
Nordjylland;2021-01-18;F;42;0;4;2132;189686;10914
Sjælland;2021-01-18;F;78;2;6;2134;189764;10920
Syddanmark;2021-01-18;F;77;2;6;2136;189841;10926
Hovedstaden;2021-01-18;M;204;8;36;2144;190045;10962
Midtjylland;2021-01-18;M;54;1;5;2145;190099;10967
Nordjylland;2021-01-18;M;30;3;4;2148;190129;10971
Sjælland;2021-01-18;M;62;1;11;2149;190191;10982
Syddanmark;2021-01-18;M;75;0;3;2149;190266;10985
Hovedstaden;2021-01-19;F;188;2;18;2151;190454;11003
Midtjylland;2021-01-19;F;65;1;3;2152;190519;11006
Nordjylland;2021-01-19;F;43;1;6;2153;190562;11012
Sjælland;2021-01-19;F;84;1;6;2154;190646;11018
Syddanmark;2021-01-19;F;80;3;3;2157;190726;11021
Hovedstaden;2021-01-19;M;174;7;25;2164;190900;11046
Midtjylland;2021-01-19;M;47;2;7;2166;190947;11053
Nordjylland;2021-01-19;M;50;3;7;2169;190997;11060
Sjælland;2021-01-19;M;80;1;10;2170;191077;11070
Syddanmark;2021-01-19;M;101;3;7;2173;191178;11077
Hovedstaden;2021-01-20;F;163;3;10;2176;191341;11087
Midtjylland;2021-01-20;F;60;1;2;2177;191401;11089
Nordjylland;2021-01-20;F;41;2;5;2179;191442;11094
Sjælland;2021-01-20;F;71;1;7;2180;191513;11101
Syddanmark;2021-01-20;F;57;1;5;2181;191570;11106
Hovedstaden;2021-01-20;M;153;3;10;2184;191723;11116
Midtjylland;2021-01-20;M;50;0;8;2184;191773;11124
Nordjylland;2021-01-20;M;39;0;5;2184;191812;11129
Sjælland;2021-01-20;M;78;0;4;2184;191890;11133
Syddanmark;2021-01-20;M;61;0;5;2184;191951;11138
Hovedstaden;2021-01-21;F;190;5;19;2189;192141;11157
Midtjylland;2021-01-21;F;63;1;4;2190;192204;11161
Nordjylland;2021-01-21;F;46;0;3;2190;192250;11164
Sjælland;2021-01-21;F;75;0;5;2190;192325;11169
Syddanmark;2021-01-21;F;57;2;5;2192;192382;11174
Hovedstaden;2021-01-21;M;186;5;24;2197;192568;11198
Midtjylland;2021-01-21;M;57;0;5;2197;192625;11203
Nordjylland;2021-01-21;M;28;0;2;2197;192653;11205
Sjælland;2021-01-21;M;71;0;11;2197;192724;11216
Syddanmark;2021-01-21;M;77;2;5;2199;192801;11221
Hovedstaden;2021-01-22;F;148;5;8;2204;192949;11229
Midtjylland;2021-01-22;F;51;1;4;2205;193000;11233
Nordjylland;2021-01-22;F;40;1;3;2206;193040;11236
Sjælland;2021-01-22;F;74;2;9;2208;193114;11245
Syddanmark;2021-01-22;F;52;1;3;2209;193166;11248
Hovedstaden;2021-01-22;M;137;3;11;2212;193303;11259
Midtjylland;2021-01-22;M;44;1;2;2213;193347;11261
Nordjylland;2021-01-22;M;43;3;5;2216;193390;11266
Sjælland;2021-01-22;M;56;1;6;2217;193446;11272
Syddanmark;2021-01-22;M;64;0;2;2217;193510;11274
Hovedstaden;2021-01-23;F;137;2;12;2219;193647;11286
Midtjylland;2021-01-23;F;42;1;2;2220;193689;11288
Nordjylland;2021-01-23;F;20;0;1;2220;193709;11289
Sjælland;2021-01-23;F;54;2;5;2222;193763;11294
Syddanmark;2021-01-23;F;44;0;3;2222;193807;11297
Hovedstaden;2021-01-23;M;120;2;13;2224;193927;11310
Midtjylland;2021-01-23;M;42;0;5;2224;193969;11315
Nordjylland;2021-01-23;M;24;1;3;2225;193993;11318
Sjælland;2021-01-23;M;46;1;4;2226;194039;11322
Syddanmark;2021-01-23;M;59;1;3;2227;194098;11325
Hovedstaden;2021-01-24;F;124;0;12;2227;194222;11337
Midtjylland;2021-01-24;F;32;1;0;2228;194254;11337
Nordjylland;2021-01-24;F;28;1;4;2229;194282;11341
Sjælland;2021-01-24;F;42;3;4;2232;194324;11345
Syddanmark;2021-01-24;F;48;0;1;2232;194372;11346
Hovedstaden;2021-01-24;M;121;2;11;2234;194493;11357
Midtjylland;2021-01-24;M;23;1;2;2235;194516;11359
Nordjylland;2021-01-24;M;29;0;1;2235;194545;11360
Sjælland;2021-01-24;M;42;0;4;2235;194587;11364
Syddanmark;2021-01-24;M;23;0;1;2235;194610;11365
Hovedstaden;2021-01-25;F;160;5;11;2240;194770;11376
Midtjylland;2021-01-25;F;42;0;5;2240;194812;11381
Nordjylland;2021-01-25;F;28;0;2;2240;194840;11383
Sjælland;2021-01-25;F;67;1;8;2241;194907;11391
Syddanmark;2021-01-25;F;50;0;4;2241;194957;11395
Hovedstaden;2021-01-25;M;171;3;16;2244;195128;11411
Midtjylland;2021-01-25;M;41;0;2;2244;195169;11413
Nordjylland;2021-01-25;M;23;0;2;2244;195192;11415
Sjælland;2021-01-25;M;63;0;6;2244;195255;11421
Syddanmark;2021-01-25;M;72;0;6;2244;195327;11427
Hovedstaden;2021-01-26;F;140;1;8;2245;195467;11435
Midtjylland;2021-01-26;F;47;0;3;2245;195514;11438
Nordjylland;2021-01-26;F;34;0;0;2245;195548;11438
Sjælland;2021-01-26;F;69;0;5;2245;195617;11443
Syddanmark;2021-01-26;F;59;0;1;2245;195676;11444
Hovedstaden;2021-01-26;M;134;2;12;2247;195810;11456
Midtjylland;2021-01-26;M;47;3;4;2250;195857;11460
Nordjylland;2021-01-26;M;33;0;4;2250;195890;11464
Sjælland;2021-01-26;M;67;1;6;2251;195957;11470
Syddanmark;2021-01-26;M;47;0;0;2251;196004;11470
Hovedstaden;2021-01-27;F;139;1;12;2252;196143;11482
Midtjylland;2021-01-27;F;35;0;1;2252;196178;11483
Nordjylland;2021-01-27;F;13;0;1;2252;196191;11484
Sjælland;2021-01-27;F;50;1;3;2253;196241;11487
Syddanmark;2021-01-27;F;39;1;3;2254;196280;11490
Hovedstaden;2021-01-27;M;111;4;11;2258;196391;11501
Midtjylland;2021-01-27;M;28;1;3;2259;196419;11504
Nordjylland;2021-01-27;M;23;0;2;2259;196442;11506
Sjælland;2021-01-27;M;52;3;8;2262;196494;11514
Syddanmark;2021-01-27;M;40;0;3;2262;196534;11517
Hovedstaden;2021-01-28;F;131;2;11;2264;196665;11528
Midtjylland;2021-01-28;F;43;1;4;2265;196708;11532
Nordjylland;2021-01-28;F;22;0;0;2265;196730;11532
Sjælland;2021-01-28;F;50;0;5;2265;196780;11537
Syddanmark;2021-01-28;F;30;0;2;2265;196810;11539
Hovedstaden;2021-01-28;M;105;4;9;2269;196915;11548
Midtjylland;2021-01-28;M;28;0;1;2269;196943;11549
Nordjylland;2021-01-28;M;18;2;3;2271;196961;11552
Sjælland;2021-01-28;M;33;0;4;2271;196994;11556
Syddanmark;2021-01-28;M;39;1;1;2272;197033;11557
Hovedstaden;2021-01-29;F;99;4;6;2276;197132;11563
Midtjylland;2021-01-29;F;19;0;2;2276;197151;11565
Nordjylland;2021-01-29;F;17;0;2;2276;197168;11567
Sjælland;2021-01-29;F;38;1;5;2277;197206;11572
Syddanmark;2021-01-29;F;34;0;0;2277;197240;11572
Hovedstaden;2021-01-29;M;84;3;8;2280;197324;11580
Midtjylland;2021-01-29;M;26;1;3;2281;197350;11583
Nordjylland;2021-01-29;M;14;0;3;2281;197364;11586
Sjælland;2021-01-29;M;24;0;3;2281;197388;11589
Syddanmark;2021-01-29;M;46;1;0;2282;197434;11589
Hovedstaden;2021-01-30;F;74;4;8;2286;197508;11597
Midtjylland;2021-01-30;F;12;0;1;2286;197520;11598
Nordjylland;2021-01-30;F;12;0;1;2286;197532;11599
Sjælland;2021-01-30;F;31;0;3;2286;197563;11602
Syddanmark;2021-01-30;F;36;0;2;2286;197599;11604
Hovedstaden;2021-01-30;M;91;0;7;2286;197690;11611
Midtjylland;2021-01-30;M;26;0;0;2286;197716;11611
Nordjylland;2021-01-30;M;17;1;1;2287;197733;11612
Sjælland;2021-01-30;M;25;0;2;2287;197758;11614
Syddanmark;2021-01-30;M;34;0;1;2287;197792;11615
Hovedstaden;2021-01-31;F;85;3;7;2290;197877;11622
Midtjylland;2021-01-31;F;25;1;2;2291;197902;11624
Nordjylland;2021-01-31;F;12;0;0;2291;197914;11624
Sjælland;2021-01-31;F;25;0;3;2291;197939;11627
Syddanmark;2021-01-31;F;30;1;2;2292;197969;11629
Hovedstaden;2021-01-31;M;91;0;10;2292;198060;11639
Midtjylland;2021-01-31;M;20;0;3;2292;198080;11642
Nordjylland;2021-01-31;M;20;0;1;2292;198100;11643
Sjælland;2021-01-31;M;36;0;4;2292;198136;11647
Syddanmark;2021-01-31;M;36;0;3;2292;198172;11650
Hovedstaden;2021-02-01;F;99;1;8;2293;198271;11658
Midtjylland;2021-02-01;F;36;0;3;2293;198307;11661
Nordjylland;2021-02-01;F;24;0;2;2293;198331;11663
Sjælland;2021-02-01;F;52;0;3;2293;198383;11666
Syddanmark;2021-02-01;F;52;1;5;2294;198435;11671
Hovedstaden;2021-02-01;M;107;5;13;2299;198542;11684
Midtjylland;2021-02-01;M;29;0;3;2299;198571;11687
Nordjylland;2021-02-01;M;22;1;4;2300;198593;11691
Sjælland;2021-02-01;M;35;1;4;2301;198628;11695
Syddanmark;2021-02-01;M;41;1;4;2302;198669;11699
Hovedstaden;2021-02-02;F;94;0;8;2302;198763;11707
Midtjylland;2021-02-02;F;34;0;1;2302;198797;11708
Nordjylland;2021-02-02;F;22;0;1;2302;198819;11709
Sjælland;2021-02-02;F;42;0;3;2302;198861;11712
Syddanmark;2021-02-02;F;51;3;8;2305;198912;11720
Hovedstaden;2021-02-02;M;112;4;11;2309;199024;11731
Midtjylland;2021-02-02;M;28;0;1;2309;199052;11732
Nordjylland;2021-02-02;M;23;1;2;2310;199075;11734
Sjælland;2021-02-02;M;34;0;2;2310;199109;11736
Syddanmark;2021-02-02;M;42;1;5;2311;199151;11741
Hovedstaden;2021-02-03;F;74;0;4;2311;199225;11745
Midtjylland;2021-02-03;F;21;0;1;2311;199246;11746
Nordjylland;2021-02-03;F;23;1;1;2312;199269;11747
Sjælland;2021-02-03;F;41;1;4;2313;199310;11751
Syddanmark;2021-02-03;F;53;1;2;2314;199363;11753
Hovedstaden;2021-02-03;M;82;0;5;2314;199445;11758
Midtjylland;2021-02-03;M;34;0;1;2314;199479;11759
Nordjylland;2021-02-03;M;19;0;3;2314;199498;11762
Sjælland;2021-02-03;M;31;1;3;2315;199529;11765
Syddanmark;2021-02-03;M;46;1;4;2316;199575;11769
Hovedstaden;2021-02-04;F;94;2;7;2318;199669;11776
Midtjylland;2021-02-04;F;36;0;0;2318;199705;11776
Nordjylland;2021-02-04;F;17;1;2;2319;199722;11778
Sjælland;2021-02-04;F;30;1;2;2320;199752;11780
Syddanmark;2021-02-04;F;34;0;2;2320;199786;11782
Hovedstaden;2021-02-04;M;103;0;11;2320;199889;11793
Midtjylland;2021-02-04;M;32;0;1;2320;199921;11794
Nordjylland;2021-02-04;M;13;0;1;2320;199934;11795
Sjælland;2021-02-04;M;44;0;6;2320;199978;11801
Syddanmark;2021-02-04;M;35;0;0;2320;200013;11801
Hovedstaden;2021-02-05;F;88;0;5;2320;200101;11806
Midtjylland;2021-02-05;F;35;0;1;2320;200136;11807
Nordjylland;2021-02-05;F;21;0;1;2320;200157;11808
Sjælland;2021-02-05;F;25;2;4;2322;200182;11812
Syddanmark;2021-02-05;F;32;1;0;2323;200214;11812
Hovedstaden;2021-02-05;M;80;2;10;2325;200294;11822
Midtjylland;2021-02-05;M;32;0;2;2325;200326;11824
Nordjylland;2021-02-05;M;12;0;1;2325;200338;11825
Sjælland;2021-02-05;M;36;1;6;2326;200374;11831
Syddanmark;2021-02-05;M;43;1;1;2327;200417;11832
Hovedstaden;2021-02-06;F;96;0;9;2327;200513;11841
Midtjylland;2021-02-06;F;30;0;3;2327;200543;11844
Nordjylland;2021-02-06;F;19;1;4;2328;200562;11848
Sjælland;2021-02-06;F;36;0;2;2328;200598;11850
Syddanmark;2021-02-06;F;44;0;2;2328;200642;11852
Hovedstaden;2021-02-06;M;71;0;1;2328;200713;11853
Midtjylland;2021-02-06;M;39;0;2;2328;200752;11855
Nordjylland;2021-02-06;M;11;0;1;2328;200763;11856
Sjælland;2021-02-06;M;31;1;3;2329;200794;11859
Syddanmark;2021-02-06;M;50;1;3;2330;200844;11862
Hovedstaden;2021-02-07;F;100;6;14;2336;200944;11876
Midtjylland;2021-02-07;F;32;0;1;2336;200976;11877
