"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
175;90+;29;2021-04-16
183;90+;5;2021-04-16
185;90+;38;2021-04-16
187;90+;11;2021-04-16
190;90+;38;2021-04-16
201;90+;18;2021-04-16
210;90+;26;2021-04-16
217;90+;26;2021-04-16
219;90+;12;2021-04-16
223;90+;18;2021-04-16
230;90+;42;2021-04-16
240;90+;17;2021-04-16
250;90+;10;2021-04-16
253;90+;13;2021-04-16
259;90+;12;2021-04-16
260;90+;7;2021-04-16
265;90+;29;2021-04-16
269;90+;8;2021-04-16
270;90+;14;2021-04-16
306;90+;6;2021-04-16
316;90+;32;2021-04-16
320;90+;7;2021-04-16
326;90+;17;2021-04-16
329;90+;7;2021-04-16
330;90+;42;2021-04-16
336;90+;5;2021-04-16
340;90+;4;2021-04-16
350;90+;10;2021-04-16
360;90+;20;2021-04-16
370;90+;29;2021-04-16
376;90+;29;2021-04-16
390;90+;3;2021-04-16
400;90+;2;2021-04-16
410;90+;4;2021-04-16
420;90+;3;2021-04-16
430;90+;6;2021-04-16
440;90+;3;2021-04-16
450;90+;10;2021-04-16
461;90+;22;2021-04-16
479;90+;14;2021-04-16
480;90+;3;2021-04-16
492;90+;1;2021-04-16
510;90+;3;2021-04-16
530;90+;9;2021-04-16
540;90+;10;2021-04-16
550;90+;1;2021-04-16
561;90+;22;2021-04-16
573;90+;23;2021-04-16
575;90+;3;2021-04-16
580;90+;6;2021-04-16
607;90+;3;2021-04-16
615;90+;23;2021-04-16
621;90+;11;2021-04-16
630;90+;12;2021-04-16
657;90+;11;2021-04-16
661;90+;21;2021-04-16
665;90+;2;2021-04-16
671;90+;3;2021-04-16
706;90+;8;2021-04-16
707;90+;2;2021-04-16
710;90+;3;2021-04-16
727;90+;6;2021-04-16
730;90+;18;2021-04-16
740;90+;9;2021-04-16
741;90+;7;2021-04-16
746;90+;23;2021-04-16
751;90+;90;2021-04-16
756;90+;6;2021-04-16
760;90+;5;2021-04-16
766;90+;4;2021-04-16
773;90+;12;2021-04-16
779;90+;6;2021-04-16
787;90+;15;2021-04-16
791;90+;13;2021-04-16
810;90+;4;2021-04-16
813;90+;4;2021-04-16
820;90+;8;2021-04-16
840;90+;12;2021-04-16
846;90+;14;2021-04-16
849;90+;4;2021-04-16
851;90+;44;2021-04-16
860;90+;11;2021-04-16
