"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
751;10-19;2495;2021-04-16
756;10-19;198;2021-04-16
760;10-19;152;2021-04-16
766;10-19;256;2021-04-16
773;10-19;66;2021-04-16
779;10-19;137;2021-04-16
787;10-19;144;2021-04-16
791;10-19;382;2021-04-16
810;10-19;152;2021-04-16
813;10-19;222;2021-04-16
820;10-19;118;2021-04-16
825;10-19;1;2021-04-16
840;10-19;130;2021-04-16
846;10-19;150;2021-04-16
849;10-19;177;2021-04-16
851;10-19;1137;2021-04-16
860;10-19;212;2021-04-16
;20-29;411;2021-04-16
011;20-29;115;2021-04-16
019;20-29;15;2021-04-16
101;20-29;13010;2021-04-16
147;20-29;1646;2021-04-16
151;20-29;457;2021-04-16
153;20-29;490;2021-04-16
155;20-29;63;2021-04-16
157;20-29;464;2021-04-16
159;20-29;720;2021-04-16
161;20-29;268;2021-04-16
163;20-29;297;2021-04-16
165;20-29;346;2021-04-16
167;20-29;586;2021-04-16
169;20-29;676;2021-04-16
173;20-29;457;2021-04-16
175;20-29;482;2021-04-16
183;20-29;424;2021-04-16
185;20-29;328;2021-04-16
187;20-29;180;2021-04-16
190;20-29;222;2021-04-16
201;20-29;98;2021-04-16
210;20-29;251;2021-04-16
217;20-29;397;2021-04-16
219;20-29;333;2021-04-16
223;20-29;89;2021-04-16
230;20-29;273;2021-04-16
240;20-29;213;2021-04-16
250;20-29;217;2021-04-16
253;20-29;400;2021-04-16
259;20-29;446;2021-04-16
260;20-29;132;2021-04-16
265;20-29;663;2021-04-16
269;20-29;131;2021-04-16
270;20-29;140;2021-04-16
306;20-29;91;2021-04-16
316;20-29;347;2021-04-16
320;20-29;155;2021-04-16
326;20-29;156;2021-04-16
329;20-29;236;2021-04-16
330;20-29;543;2021-04-16
336;20-29;82;2021-04-16
340;20-29;103;2021-04-16
350;20-29;102;2021-04-16
360;20-29;111;2021-04-16
370;20-29;427;2021-04-16
376;20-29;191;2021-04-16
390;20-29;123;2021-04-16
400;20-29;51;2021-04-16
410;20-29;82;2021-04-16
420;20-29;80;2021-04-16
430;20-29;129;2021-04-16
440;20-29;61;2021-04-16
450;20-29;98;2021-04-16
461;20-29;2104;2021-04-16
479;20-29;162;2021-04-16
480;20-29;76;2021-04-16
482;20-29;10;2021-04-16
492;20-29;4;2021-04-16
510;20-29;183;2021-04-16
530;20-29;87;2021-04-16
540;20-29;255;2021-04-16
550;20-29;91;2021-04-16
561;20-29;576;2021-04-16
563;20-29;2;2021-04-16
573;20-29;173;2021-04-16
575;20-29;149;2021-04-16
580;20-29;167;2021-04-16
607;20-29;209;2021-04-16
615;20-29;514;2021-04-16
621;20-29;489;2021-04-16
630;20-29;631;2021-04-16
657;20-29;334;2021-04-16
661;20-29;270;2021-04-16
665;20-29;48;2021-04-16
671;20-29;74;2021-04-16
706;20-29;80;2021-04-16
707;20-29;88;2021-04-16
710;20-29;126;2021-04-16
727;20-29;38;2021-04-16
730;20-29;457;2021-04-16
740;20-29;328;2021-04-16
741;20-29;4;2021-04-16
746;20-29;184;2021-04-16
751;20-29;4748;2021-04-16
756;20-29;131;2021-04-16
760;20-29;167;2021-04-16
766;20-29;155;2021-04-16
773;20-29;77;2021-04-16
779;20-29;128;2021-04-16
787;20-29;150;2021-04-16
791;20-29;252;2021-04-16
810;20-29;105;2021-04-16
813;20-29;168;2021-04-16
820;20-29;103;2021-04-16
825;20-29;3;2021-04-16
840;20-29;58;2021-04-16
846;20-29;137;2021-04-16
849;20-29;108;2021-04-16
851;20-29;1980;2021-04-16
860;20-29;161;2021-04-16
;30-39;358;2021-04-16
011;30-39;211;2021-04-16
012;30-39;2;2021-04-16
019;30-39;23;2021-04-16
101;30-39;7710;2021-04-16
147;30-39;976;2021-04-16
151;30-39;424;2021-04-16
153;30-39;456;2021-04-16
155;30-39;90;2021-04-16
157;30-39;365;2021-04-16
159;30-39;671;2021-04-16
161;30-39;282;2021-04-16
163;30-39;302;2021-04-16
165;30-39;321;2021-04-16
167;30-39;565;2021-04-16
169;30-39;696;2021-04-16
173;30-39;306;2021-04-16
175;30-39;431;2021-04-16
183;30-39;432;2021-04-16
185;30-39;342;2021-04-16
187;30-39;249;2021-04-16
190;30-39;251;2021-04-16
201;30-39;101;2021-04-16
210;30-39;252;2021-04-16
217;30-39;362;2021-04-16
219;30-39;305;2021-04-16
223;30-39;87;2021-04-16
230;30-39;254;2021-04-16
240;30-39;304;2021-04-16
250;30-39;177;2021-04-16
253;30-39;391;2021-04-16
259;30-39;387;2021-04-16
260;30-39;128;2021-04-16
265;30-39;551;2021-04-16
269;30-39;179;2021-04-16
270;30-39;156;2021-04-16
306;30-39;82;2021-04-16
316;30-39;340;2021-04-16
320;30-39;170;2021-04-16
326;30-39;158;2021-04-16
329;30-39;195;2021-04-16
330;30-39;464;2021-04-16
336;30-39;92;2021-04-16
340;30-39;106;2021-04-16
350;30-39;170;2021-04-16
360;30-39;113;2021-04-16
370;30-39;358;2021-04-16
376;30-39;211;2021-04-16
390;30-39;142;2021-04-16
400;30-39;71;2021-04-16
410;30-39;87;2021-04-16
420;30-39;101;2021-04-16
430;30-39;132;2021-04-16
440;30-39;55;2021-04-16
